APPLICATIONID,COMPONENTNAME,SERVICENAME,HOSTNAME,TRANSACTIONDOMAIN,TRANSACTIONID,TRANSACTIONTYPE,TIMEMARK,TIMEDURATION,LOGCATEGORY,LOGMESSAGES,STATUS,TRANSACTIONBEFORE,TRANSACTIONAFTER,DATAENCODING,BUSINESSID,APPLICATIONDOMAIN,LOGLEVEL,LOGID,FILTERED,JMSHEADER,BUSINESSID2,EXCEPTIONID
1402,BusinessProcesses/SubProcess/DynamicCallProcessPOProcessor/ConnectToOFH5.process,POCreate,peplap01731,ElectronicOrders,ID:EMS-SERVER-ENTERPRISE-19922.589656AE3DEA11A78E:3665571,,14-APR-16 12.00.15.000000000 AM,0,,"<?xml version=""1.0"" encoding=""UTF-8""?>
<Root/>",End: POProcessor/ConnectToOFH5,,PO details successfully inserted into OFH5DB,,ECG000030663_1192088876,,,20082975251,N,"<?xml version=""1.0"" encoding=""UTF-8""?>
<ns0:JMSHeader xmlns:ns0=""http://xmlns.example.com/unique/default/namespace/1150144137239"">
    <ns0:JMSHeaders>
        <ns0:JMSDestination>PEP.US.COMMON.LE.LOG.Text.1.Create</ns0:JMSDestination>
        <ns0:JMSDeliveryMode>PERSISTENT</ns0:JMSDeliveryMode>
        <ns0:JMSMessageID>ID:EMS-SERVER-ENTERPRISE-19922.589656AE3DEAEEA2B:163114</ns0:JMSMessageID>
        <ns0:JMSTimestamp>1460606415606</ns0:JMSTimestamp>
        <ns0:JMSExpiration>0</ns0:JMSExpiration>
        <ns0:JMSRedelivered>false</ns0:JMSRedelivered>
        <ns0:JMSPriority>4</ns0:JMSPriority>
    </ns0:JMSHeaders>
    <ns0:JMSProperties/>
</ns0:JMSHeader>",,
1402,BusinessProcesses/StarterProcess/POProcessor/POProcessor.process,POCreate,peplap01731,ElectronicOrders,ID:EMS-SERVER-ENTERPRISE-19922.589656AE3DEA11A79D:3665633,,14-APR-16 12.00.15.000000000 AM,0,,"<?xml version=""1.0"" encoding=""UTF-8""?>
<Root/>",End: POProcessor,"<?xml version=""1.0"" encoding=""UTF-8""?>
<Output><O_CMPLT_ORD>&lt;ORDER&gt;
 &lt;HEADER&gt;
  &lt;CUST_ID&gt;3516135&lt;/CUST_ID&gt;
  &lt;CUST_ORD_REF_NUM&gt;374&lt;/CUST_ORD_REF_NUM&gt;
  &lt;CUST_PO_NUM&gt;101432933&lt;/CUST_PO_NUM&gt;
  &lt;DELY_MTHD_CDE&gt;003&lt;/DELY_MTHD_CDE&gt;
  &lt;ECG_DOC_TYPE&gt;PO&lt;/ECG_DOC_TYPE&gt;
  &lt;EMPL_CREATE_ID&gt;494&lt;/EMPL_CREATE_ID&gt;
  &lt;EO_ORD_STAT_CDE&gt;RDY&lt;/EO_ORD_STAT_CDE&gt;
  &lt;EO_ORD_STRSN_CDE&gt;000&lt;/EO_ORD_STRSN_CDE&gt;
  &lt;EO_ORD_TYPE_CDE&gt;001&lt;/EO_ORD_TYPE_CDE&gt;
  &lt;EO_PROC_DTE&gt;2016-04-14T00:00:13&lt;/EO_PROC_DTE&gt;
  &lt;EO_TRSMT_ID&gt;358865&lt;/EO_TRSMT_ID&gt;
  &lt;FOB_CDE&gt;PP&lt;/FOB_CDE&gt;
  &lt;GLN_NUM&gt; &lt;/GLN_NUM&gt;
  &lt;KEY_ACCT_ECMRC_GRP_ID&gt;29986&lt;/KEY_ACCT_ECMRC_GRP_ID&gt;
  &lt;LOC_ID&gt;305&lt;/LOC_ID&gt;
  &lt;ORD_CANC_AFTR_DTE&gt;1900-01-01T00:00:00&lt;/ORD_CANC_AFTR_DTE&gt;
  &lt;ORD_CREATE_DTE&gt;2016-04-13T00:00:00&lt;/ORD_CREATE_DTE&gt;
  &lt;ORD_CUST_REP_NME&gt;Norton           &lt;/ORD_CUST_REP_NME&gt;
  &lt;ORD_EXACT_DELY_DTE&gt;2016-04-20T00:00:00&lt;/ORD_EXACT_DELY_DTE&gt;
  &lt;ORD_ID&gt;616949986&lt;/ORD_ID&gt;
  &lt;ORD_TYPE_CDE&gt;001&lt;/ORD_TYPE_CDE&gt;
  &lt;PROD_GRP_CDE&gt;001&lt;/PROD_GRP_CDE&gt;
  &lt;PROD_RTE_ID&gt;263&lt;/PROD_RTE_ID&gt;
  &lt;PYMT_TERM_DSCNT_AMT&gt;0&lt;/PYMT_TERM_DSCNT_AMT&gt;
  &lt;PYMT_TERM_DSCNT_DAY_DUE_QTY&gt;0&lt;/PYMT_TERM_DSCNT_DAY_DUE_QTY&gt;
  &lt;PYMT_TERM_DSCNT_PCT&gt;0&lt;/PYMT_TERM_DSCNT_PCT&gt;
  &lt;PYMT_TERM_NET_DAY_DUE_QTY&gt;0&lt;/PYMT_TERM_NET_DAY_DUE_QTY&gt;
  &lt;SHP_NOT_AFTR_DTE&gt;1900-01-01T00:00:00&lt;/SHP_NOT_AFTR_DTE&gt;
  &lt;SHP_NOT_BFR_DTE&gt;1900-01-01T00:00:00&lt;/SHP_NOT_BFR_DTE&gt;
  &lt;SLS_MTHD_CDE&gt;003&lt;/SLS_MTHD_CDE&gt;
  &lt;SERVER_ID&gt;OFH5&lt;/SERVER_ID&gt;
 &lt;/HEADER&gt;

&lt;LINES&gt;
 &lt;LINE&gt;
  &lt;CASE_UPC_CDE&gt;012000707070&lt;/CASE_UPC_CDE&gt;
  &lt;CUST_INVEN_REF_NUM&gt;12958&lt;/CUST_INVEN_REF_NUM&gt;
  &lt;DEAL_ID&gt;44410516&lt;/DEAL_ID&gt;
  &lt;EO_LNE_STRSN_CDE&gt;000&lt;/EO_LNE_STRSN_CDE&gt;
  &lt;EO_ORD_LNE_STAT_CDE&gt;RDY&lt;/EO_ORD_LNE_STAT_CDE&gt;
  &lt;INVEN_ID&gt;5877&lt;/INVEN_ID&gt;
  &lt;ORD_LNE_NDSCT_AMT&gt;23.16&lt;/ORD_LNE_NDSCT_AMT&gt;
  &lt;ORD_LNE_QTY&gt;1&lt;/ORD_LNE_QTY&gt;
  &lt;ORD_LNE_SEQ_NUM&gt;1&lt;/ORD_LNE_SEQ_NUM&gt;
  &lt;ORD_LNE_TYPE_CDE&gt;PRD&lt;/ORD_LNE_TYPE_CDE&gt;
  &lt;ORD_LNE_WHLSL_AMT&gt;40&lt;/ORD_LNE_WHLSL_AMT&gt;
  &lt;ORD_PEPSI_DPST_AMT&gt;0&lt;/ORD_PEPSI_DPST_AMT&gt;
  &lt;PKG_CONFIG_CUST_QTY&gt;24&lt;/PKG_CONFIG_CUST_QTY&gt;
 &lt;/LINE&gt;
 &lt;LINE&gt;
  &lt;CASE_UPC_CDE&gt;012000709357&lt;/CASE_UPC_CDE&gt;
  &lt;CUST_INVEN_REF_NUM&gt;13124&lt;/CUST_INVEN_REF_NUM&gt;
  &lt;DEAL_ID&gt;45461200&lt;/DEAL_ID&gt;
  &lt;EO_LNE_STRSN_CDE&gt;000&lt;/EO_LNE_STRSN_CDE&gt;
  &lt;EO_ORD_LNE_STAT_CDE&gt;RDY&lt;/EO_ORD_LNE_STAT_CDE&gt;
  &lt;INVEN_ID&gt;69807&lt;/INVEN_ID&gt;
  &lt;ORD_LNE_NDSCT_AMT&gt;23.16&lt;/ORD_LNE_NDSCT_AMT&gt;
  &lt;ORD_LNE_QTY&gt;1&lt;/ORD_LNE_QTY&gt;
  &lt;ORD_LNE_SEQ_NUM&gt;2&lt;/ORD_LNE_SEQ_NUM&gt;
  &lt;ORD_LNE_TYPE_CDE&gt;PRD&lt;/ORD_LNE_TYPE_CDE&gt;
  &lt;ORD_LNE_WHLSL_AMT&gt;30&lt;/ORD_LNE_WHLSL_AMT&gt;
  &lt;ORD_PEPSI_DPST_AMT&gt;0&lt;/ORD_PEPSI_DPST_AMT&gt;
  &lt;PKG_CONFIG_CUST_QTY&gt;12&lt;/PKG_CONFIG_CUST_QTY&gt;
 &lt;/LINE&gt;
 &lt;LINE&gt;
  &lt;CASE_UPC_CDE&gt;012000100482&lt;/CASE_UPC_CDE&gt;
  &lt;CUST_INVEN_REF_NUM&gt;16851&lt;/CUST_INVEN_REF_NUM&gt;
  &lt;DEAL_ID&gt;44418346&lt;/DEAL_ID&gt;
  &lt;EO_LNE_STRSN_CDE&gt;000&lt;/EO_LNE_STRSN_CDE&gt;
  &lt;EO_ORD_LNE_STAT_CDE&gt;RDY&lt;/EO_ORD_LNE_STAT_CDE&gt;
  &lt;INVEN_ID&gt;34636&lt;/INVEN_ID&gt;
  &lt;ORD_LNE_NDSCT_AMT&gt;10.43&lt;/ORD_LNE_NDSCT_AMT&gt;
  &lt;ORD_LNE_QTY&gt;75&lt;/ORD_LNE_QTY&gt;
  &lt;ORD_LNE_SEQ_NUM&gt;3&lt;/ORD_LNE_SEQ_NUM&gt;
  &lt;ORD_LNE_TYPE_CDE&gt;PRD&lt;/ORD_LNE_TYPE_CDE&gt;
  &lt;ORD_LNE_WHLSL_AMT&gt;15&lt;/ORD_LNE_WHLSL_AMT&gt;
  &lt;ORD_PEPSI_DPST_AMT&gt;0&lt;/ORD_PEPSI_DPST_AMT&gt;
  &lt;PKG_CONFIG_CUST_QTY&gt;1&lt;/PKG_CONFIG_CUST_QTY&gt;
 &lt;/LINE&gt;
 &lt;LINE&gt;
  &lt;CASE_UPC_CDE&gt;012000100109&lt;/CASE_UPC_CDE&gt;
  &lt;CUST_INVEN_REF_NUM&gt;16852&lt;/CUST_INVEN_REF_NUM&gt;
  &lt;DEAL_ID&gt;44418346&lt;/DEAL_ID&gt;
  &lt;EO_LNE_STRSN_CDE&gt;000&lt;/EO_LNE_STRSN_CDE&gt;
  &lt;EO_ORD_LNE_STAT_CDE&gt;RDY&lt;/EO_ORD_LNE_STAT_CDE&gt;
  &lt;INVEN_ID&gt;19789&lt;/INVEN_ID&gt;
  &lt;ORD_LNE_NDSCT_AMT&gt;10.43&lt;/ORD_LNE_NDSCT_AMT&gt;
  &lt;ORD_LNE_QTY&gt;75&lt;/ORD_LNE_QTY&gt;
  &lt;ORD_LNE_SEQ_NUM&gt;4&lt;/ORD_LNE_SEQ_NUM&gt;
  &lt;ORD_LNE_TYPE_CDE&gt;PRD&lt;/ORD_LNE_TYPE_CDE&gt;
  &lt;ORD_LNE_WHLSL_AMT&gt;15&lt;/ORD_LNE_WHLSL_AMT&gt;
  &lt;ORD_PEPSI_DPST_AMT&gt;0&lt;/ORD_PEPSI_DPST_AMT&gt;
  &lt;PKG_CONFIG_CUST_QTY&gt;1&lt;/PKG_CONFIG_CUST_QTY&gt;
 &lt;/LINE&gt;
 &lt;LINE&gt;
  &lt;CASE_UPC_CDE&gt;012000707209&lt;/CASE_UPC_CDE&gt;
  &lt;CUST_INVEN_REF_NUM&gt;340030&lt;/CUST_INVEN_REF_NUM&gt;
  &lt;DEAL_ID&gt;46245338&lt;/DEAL_ID&gt;
  &lt;EO_LNE_STRSN_CDE&gt;000&lt;/EO_LNE_STRSN_CDE&gt;
  &lt;EO_ORD_LNE_STAT_CDE&gt;RDY&lt;/EO_ORD_LNE_STAT_CDE&gt;
  &lt;INVEN_ID&gt;32076&lt;/INVEN_ID&gt;
  &lt;ORD_LNE_NDSCT_AMT&gt;12.69&lt;/ORD_LNE_NDSCT_AMT&gt;
  &lt;ORD_LNE_QTY&gt;140&lt;/ORD_LNE_QTY&gt;
  &lt;ORD_LNE_SEQ_NUM&gt;5&lt;/ORD_LNE_SEQ_NUM&gt;
  &lt;ORD_LNE_TYPE_CDE&gt;PRD&lt;/ORD_LNE_TYPE_CDE&gt;
  &lt;ORD_LNE_WHLSL_AMT&gt;25&lt;/ORD_LNE_WHLSL_AMT&gt;
  &lt;ORD_PEPSI_DPST_AMT&gt;0&lt;/ORD_PEPSI_DPST_AMT&gt;
  &lt;PKG_CONFIG_CUST_QTY&gt;1&lt;/PKG_CONFIG_CUST_QTY&gt;
 &lt;/LINE&gt;
 &lt;LINE&gt;
  &lt;CASE_UPC_CDE&gt;012000731266&lt;/CASE_UPC_CDE&gt;
  &lt;CUST_INVEN_REF_NUM&gt;96&lt;/CUST_INVEN_REF_NUM&gt;
  &lt;DEAL_ID&gt;45274351&lt;/DEAL_ID&gt;
  &lt;EO_LNE_STRSN_CDE&gt;000&lt;/EO_LNE_STRSN_CDE&gt;
  &lt;EO_ORD_LNE_STAT_CDE&gt;RDY&lt;/EO_ORD_LNE_STAT_CDE&gt;
  &lt;INVEN_ID&gt;145602&lt;/INVEN_ID&gt;
  &lt;ORD_LNE_NDSCT_AMT&gt;9.24&lt;/ORD_LNE_NDSCT_AMT&gt;
  &lt;ORD_LNE_QTY&gt;40&lt;/ORD_LNE_QTY&gt;
  &lt;ORD_LNE_SEQ_NUM&gt;6&lt;/ORD_LNE_SEQ_NUM&gt;
  &lt;ORD_LNE_TYPE_CDE&gt;PRD&lt;/ORD_LNE_TYPE_CDE&gt;
  &lt;ORD_LNE_WHLSL_AMT&gt;20&lt;/ORD_LNE_WHLSL_AMT&gt;
  &lt;ORD_PEPSI_DPST_AMT&gt;0&lt;/ORD_PEPSI_DPST_AMT&gt;
  &lt;PKG_CONFIG_CUST_QTY&gt;2&lt;/PKG_CONFIG_CUST_QTY&gt;
 &lt;/LINE&gt;
&lt;/LINES&gt;
&lt;/ORDER&gt;</O_CMPLT_ORD><EO_DOC_TYPE>PO</EO_DOC_TYPE><ORD_ID>616949986</ORD_ID><Batch_ID>ECG000030676_1192123080</Batch_ID><JMSMessageID>ID:EMS-SERVER-ENTERPRISE-19922.589656AE3DEA11A79D:3665633</JMSMessageID><ServiceName>POCreate</ServiceName></Output>",PO details successfully inserted into OFH5DB,,ECG000030676_1192123080,,,20082975262,N,"<?xml version=""1.0"" encoding=""UTF-8""?>
<ns0:JMSHeader xmlns:ns0=""http://xmlns.example.com/unique/default/namespace/1150144137239"">
    <ns0:JMSHeaders>
        <ns0:JMSDestination>PEP.US.COMMON.LE.LOG.Text.1.Create</ns0:JMSDestination>
        <ns0:JMSDeliveryMode>PERSISTENT</ns0:JMSDeliveryMode>
        <ns0:JMSMessageID>ID:EMS-SERVER-ENTERPRISE-19922.589656AE3DEAEE696:164001</ns0:JMSMessageID>
        <ns0:JMSTimestamp>1460606415633</ns0:JMSTimestamp>
        <ns0:JMSExpiration>0</ns0:JMSExpiration>
        <ns0:JMSRedelivered>false</ns0:JMSRedelivered>
        <ns0:JMSPriority>4</ns0:JMSPriority>
    </ns0:JMSHeaders>
    <ns0:JMSProperties/>
</ns0:JMSHeader>",,
